contract_awarded_to,data_source,contract_award_price,contract_id,contract_title,awarding_agency_link,contract_signed_on,awarding_ministry,currency,awarding_agency,tender_description,estimated_contract_completion_date,tender_type,tender_lot_Numbers,address,scraped_time,company_email,tender_package_no,awarding_agency_ministry
Stak-Fam Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1379,37145.0,1379.0,SUPPLY OF NON- MEDICINES CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=701,2014-05-09,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateWestern,,2014-02-01,NCT,"19,24","Box X 618, Kumasi",2017-10-06 16:18:17.120808,,WR/GHS/NCT/B.2.2/2014,Office of the Regional Health DirectorateWestern /Ministry of Health
Belshaw Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1380,9300.0,1380.0,SUPPLY OF NON- MEDICINES CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=701,2014-05-09,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateWestern,,2014-02-01,NCT,36,BoxCe 11542 comm.11 Tema,2017-10-06 16:18:34.595040,,WR/GHS/NCT/B.2.2/2014,Office of the Regional Health DirectorateWestern /Ministry of Health
J.A.Biney Co. Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1381,12000.0,1381.0,SUPPLY OF NON- MEDICINES CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=701,2014-05-09,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateWestern,,2014-02-01,NCT,35,"Box 1339,Accra",2017-10-06 16:18:34.492720,,WR/GHS/NCT/B.2.2/2014,Office of the Regional Health DirectorateWestern /Ministry of Health
Jokwat Printing Press,https://www.ppaghana.org/contractdetail.asp?Con_ID=1382,7050.0,1382.0,SUPPLY OF NON- MEDICINES CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=701,2014-05-09,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateWestern,,2014-02-01,NCT,41,"P.O.BOX BP 400 
KUMASI",2017-10-06 16:18:50.195793,,WR/GHS/NCT/B.2.2/2014,Office of the Regional Health DirectorateWestern /Ministry of Health
Frandak Agency,https://www.ppaghana.org/contractdetail.asp?Con_ID=1383,30063.8,1383.0,SUPPLY OF NON- MEDICINES CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=701,2014-05-09,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateWestern,,2014-02-01,NCT,"27,28","Box GP18727, Accra",2017-10-06 16:18:52.145045,,WR/GHS/NCT/B.2.2/2014,Office of the Regional Health DirectorateWestern /Ministry of Health
Ryzenpharma Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1384,70000.0,1384.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,32,"P.O.Box AN 115573
Accra",2017-10-06 16:19:03.655827,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Intravenous Infusions Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1385,170138.0,1385.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"55,56,62,104,105,110,127,140,143,144,150,151","P.O.Box KF 63
Koforidua",2017-10-06 16:19:05.657090,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Sanbao Gh. Pharma. Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1386,88950.0,1386.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"50,51,52,53,54","P. O. Box CE 12118
Community 11
Tema",2017-10-06 16:19:19.034720,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Mysalam Chemist Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1387,18750.0,1387.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"34,46","P.O.Box AT 2264
Accra",2017-10-06 16:19:19.113387,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Kojach Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1388,20000.0,1388.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"66,123","P.O.Box 3159
Kumasi",2017-10-06 16:19:30.151165,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Tobinco Pharmaceuticals Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1389,42500.0,1389.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"38,48,67,147","P.O.Box GP 13803 
Accra",2017-10-06 16:19:28.162835,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Danadams Pharma. Ind. Gh. Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1390,71963.0,1390.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"31,49,69,91,106,109","P.O.Box TS 73
Teshie, Accra",2017-10-06 16:19:41.393619,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Gokals Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1391,92500.0,1391.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"64,116,141","P.O.Box 623
Accra",2017-10-06 16:19:43.606393,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Vicdoris Pharmaceuticals limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1392,44850.0,1392.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"73,74","P.O.Box AN 15088
Accra",2017-10-06 16:19:54.610451,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Spintex Chemist limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1393,26900.0,1393.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"97,130,134,159","P.O.Box MP 1487 
Mamprobi, Ghana",2017-10-06 16:19:56.471114,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Supra Pharma Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1394,17180.0,1394.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,27,"PMB CT 333
Cantonments - Ghana",2017-10-06 16:20:08.562979,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
East Cantonments Pharmacy Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1395,202500.0,1395.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"30,31,32","No. 115 Kwame Nkrumah Ave. 
East Cantonments, Accra, Ghana",2017-10-06 16:20:10.525529,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Osons Chemist limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1396,34240.0,1396.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"33,85,90,92,140","P. O. Box 18473
Accra",2017-10-06 16:20:22.828132,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Roxin Ghana Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1397,33100.0,1397.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"21,44,64,86,124","12 OSU Avenue Ext, Switch Back Road
Adjacent Police HQ
Cantonment, Accra",2017-10-06 16:20:37.873412,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Lymens Medical Supplies Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1398,238870.0,1398.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"16,63,99,100,116,118,130","P.O.Box DS 1776
Dansoman - Accra   
Ghana",2017-10-06 16:20:33.510187,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Palb Pharmaceuticals Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1399,52220.0,1399.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-05-25,NCT,6,"P.O.Box KN 3418
Accra, Ghana",2017-10-06 16:20:43.715048,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Surgecare & Pharma Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1400,62060.0,1400.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"14,15,47,57,93","P.O.Box CT 4575
Accra",2017-10-06 16:20:50.952016,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Unichem (Ghana) Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1401,35000.0,1401.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"11,33","P.O.Box 15146
North Industrial Area, Accra",2017-10-06 16:20:54.029417,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Phyto Riker (Gihoc) Pharmaceutical Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1402,61800.0,1402.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"28,35,43,95","Mile 7 off Accra-Nsawam Road, Dome
P.O.Box AN 5266
Accra - North",2017-10-06 16:21:02.847320,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Propharm Chemist Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1403,24517.0,1403.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"28,29,148,149","P. O. Box 30707
KIA - Accra",2017-10-06 16:21:16.814102,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Aspee Pharmaceuticals Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1404,171000.0,1404.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"114,126,148,149","P. O. Box 201
Ejisu - Kumasi",2017-10-06 16:21:15.107104,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Kama Health Services Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1405,48386.0,1405.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"10,36,103,146,153","P. O. Box 5437
Accra-North",2017-10-06 16:21:33.210301,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Kinapharma Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1406,208124.0,1406.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"22,45,75,80,94,120","P.O.Box TF 241
Accra",2017-10-06 16:21:33.111821,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Eskay Therapeutics Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1407,44539.5,1407.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"4,25,102","P.O.Box 431
Accra",2017-10-06 16:21:46.182781,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Unicom Chemist Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1408,86500.0,1408.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"1,7,23,81,88,117,137,157,158","P.O.Box OS 591
Osu - Accra",2017-10-06 16:21:46.037821,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
M & G Pharmaceuticals Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1409,187593.0,1409.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"6,11,29,40,78,83,111,115,135,139,148,161,162","P.O.Box 1681
Accra",2017-10-06 16:21:58.475797,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Pharmanova Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1410,402584.0,1410.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,"5,9,16,17,20,30,43,64,84,87,99,100,107","P.O.Box AT 579
Achimota Market 
Accra Ghana",2017-10-06 16:22:03.212597,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
Ernest Chemist Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1411,197705.0,1411.0,PROCUREMENT OF MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=700,2014-05-27,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateVolta Region,PROCUREMENT OF ESSENTIAL MEDICINES,2014-07-25,NCT,various,"P.O.Box 3345
Accra",2017-10-06 16:22:12.029041,,VRHD/GDS/2014/NCT/05,Office of the Regional Health DirectorateVolta Region/Ministry of Health
IPMC,https://www.ppaghana.org/contractdetail.asp?Con_ID=1412,11092.08,1412.0,Supply and Installation of Computer and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1428,2013-09-12,Ministry of Education,New Ghana Cedi,Students Loan Trust Fund,Lot 1: Computer and Accessories     Lot 2: Application Software     Lot 3: Office Equipment,2013-10-12,NCT,"1a, 1c, 1e, 1g","P. O. Box 76177
Accra",2017-10-06 16:22:17.723100,,SLTF/NCT/01/2013,Students Loan Trust Fund/Ministry of Education
Perfect Business Systems,https://www.ppaghana.org/contractdetail.asp?Con_ID=1413,5410.0,1413.0,Supply and Installation of Computer and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1428,2013-08-27,Ministry of Education,New Ghana Cedi,Students Loan Trust Fund,Lot 1: Computer and Accessories     Lot 2: Application Software     Lot 3: Office Equipment,2013-09-27,NCT,"1d, 1h","P. O. Box GP 13724
Accra",2017-10-06 16:22:36.674453,,SLTF/NCT/01/2013,Students Loan Trust Fund/Ministry of Education
Next Computers,https://www.ppaghana.org/contractdetail.asp?Con_ID=1414,37034.0,1414.0,Procurement of Computers and Accessories,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=354,2012-08-07,Ministry of Local Government and Rural Development,New Ghana Cedi,Local Government Service Secretariat,Lot 1: Desktop Computer - qty 10    Lot 2: Black and White Printers - qty 10    Lot 3: Photocopiers - qty 10    Lot 4: Scanners - qty 10    Lot 5: UPS - qty 10,2013-08-21,NCT,2,"P. O. Box OS 2047
Osu
Accra",2017-10-06 16:22:36.559882,,LGCSP/LGSS/NVB/GDS/01/2013,Local Government Service Secretariat /Ministry of Local Government and Rural Development
TOYOTA GHANA LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1415,96932.7,1415.0,SUPPLY OF FOUR WHEEL DRIVE DOUBLE CIN  PICK-UP,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1371,2014-03-26,Ministry of Education,New Ghana Cedi,Sunyani Polytechnic,,2014-06-01,NCT,LOT 1,"TOYOTA GHANA COMPANY LIMITED
HARPER ROAD, ADUM KUMASI",2017-10-06 16:22:45.244040,,SP/IGF/001/2014,Sunyani Polytechnic/Ministry of Education
TRIPPLE 'A' ENTERPRISE LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1417,1200000.0,1417.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-06-24,,New Ghana Cedi,Controller And Accountant General Department,,2014-08-19,,,"P. O. BOX LT 655
ACCRA",2017-10-06 16:22:55.493421,,,Controller And Accountant General Department /
DIZENGOFF GHANA LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1418,65460.0,1418.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-06-23,,New Ghana Cedi,Controller And Accountant General Department,,2014-08-18,,,"P.O. BOX 3403
ACCRA",2017-10-06 16:23:13.559532,,,Controller And Accountant General Department /
BESTAS PRESS LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1419,835500.0,1419.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-06-24,,New Ghana Cedi,Controller And Accountant General Department,,2014-08-19,,,"P. O. BOX AN 6045
ACCRA-NORTH",2017-10-06 16:23:09.293455,,,Controller And Accountant General Department /
FRONTIERS PRINTING AND PUBLISHING LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1420,4250000.0,1420.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-06-24,,New Ghana Cedi,Controller And Accountant General Department,,2014-08-19,,,"P. O. BOX CT 1953
ACCRA",2017-10-06 16:23:25.640961,,,Controller And Accountant General Department /
DERISCO COMPANY LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1421,65050.0,1421.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-06-23,,New Ghana Cedi,Controller And Accountant General Department,,2014-08-18,,3,"P. O. BOX AT 1426
ACHIMOTA - ACCRA",2017-10-06 16:23:27.852131,,,Controller And Accountant General Department /
PRIMMOND LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1422,300000.0,1422.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-05-21,,New Ghana Cedi,Controller And Accountant General Department,,2014-07-16,,,"P. O. BOX 4733
ACCRA",2017-10-06 16:23:36.351836,,,Controller And Accountant General Department /
ANEST COMPANY LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1423,138000.0,1423.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-05-21,,New Ghana Cedi,Controller And Accountant General Department,,2014-07-16,,,"P. O. BOX 19672
ACCRA-NORTH",2017-10-06 16:23:39.370129,,,Controller And Accountant General Department /
LEGIBLE-INK CONSULTS,https://www.ppaghana.org/contractdetail.asp?Con_ID=1424,21000.0,1424.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-05-21,,New Ghana Cedi,Controller And Accountant General Department,,2014-07-16,,,"P. O. BOX 11930
ACCRA-NORTH",2017-10-06 16:23:52.925713,,,Controller And Accountant General Department /
JUSTICE PRESS LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1425,484500.0,1425.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-05-21,,New Ghana Cedi,Controller And Accountant General Department,,2014-07-16,,,"P. O. BOX NT 416
ACCRA",2017-10-06 16:23:53.001302,,,Controller And Accountant General Department /
ANEST COMPANY LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1426,250000.0,1426.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-05-21,,New Ghana Cedi,Controller And Accountant General Department,,2014-07-16,,,"P. O. BOX 19672
ACCRA-NORTH",2017-10-06 16:24:04.088499,,,Controller And Accountant General Department /
YAMENS PRESS LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1427,195000.0,1427.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-05-21,,New Ghana Cedi,Controller And Accountant General Department,,2014-07-16,,,"P. O. BOX AF 274
ACCRA",2017-10-06 16:24:07.040409,,,Controller And Accountant General Department /
ANEST COMPANY LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1428,65550.0,1428.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-05-21,,New Ghana Cedi,Controller And Accountant General Department,,2014-07-16,,,"P. O. BOX 19672
ACCRA - NORTH",2017-10-06 16:24:20.957644,,,Controller And Accountant General Department /
SAKOA PRESS LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1429,92250.0,1429.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-05-21,,New Ghana Cedi,Controller And Accountant General Department,,2014-07-16,,,"P. O. BOX AN 11590
ACCRA - NORTH",2017-10-06 16:24:21.033491,,,Controller And Accountant General Department /
YAMENS PRESS LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1430,83700.0,1430.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-05-21,,New Ghana Cedi,Controller And Accountant General Department,,2014-07-16,,,P. O. BOX AF 274,2017-10-06 16:24:44.062610,,,Controller And Accountant General Department /
JAPAN MOTORS TRADING COMPANY LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1431,17167.0,1431.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-02-25,,New Ghana Cedi,Controller And Accountant General Department,,2014-04-22,,,"P. O. BOX AN 5216
ACCRA",2017-10-06 16:24:39.498733,,,Controller And Accountant General Department /
HAND-IN-HAND GHANA LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1432,49680.0,1432.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-05-05,,New Ghana Cedi,Controller And Accountant General Department,,2014-06-23,,,"P. O. BOX AN 5718
MAMPROBI - ACCRA",2017-10-06 16:24:53.014096,,,Controller And Accountant General Department /
JEMR-HARRODS COMPANY LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1433,330000.0,1433.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-03-17,,New Ghana Cedi,Controller And Accountant General Department,,2014-05-19,,,"P. O. BOX CT 6511
CANTOMENTS- ACCRA",2017-10-06 16:25:10.197389,,,Controller And Accountant General Department /
INNOLINK LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1434,41900.0,1434.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-05-21,,New Ghana Cedi,Controller And Accountant General Department,,2014-07-16,,,"P. O. BOX 30315
MAMPROBI - ACCRA",2017-10-06 16:25:08.033192,,,Controller And Accountant General Department /
OMAN FOFOR TRADING COMPANY LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1435,35208.65,1435.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-06-23,,New Ghana Cedi,Controller And Accountant General Department,,2014-08-18,,,"P. O. BOX 7101
ACCRA - NORTH",2017-10-06 16:25:25.737774,,,Controller And Accountant General Department /
